ward_id,name,area_m2,area_km2,perimeter_m,perimeter_km,compactness,centroid_lon,centroid_lat,road_length_km,road_density_km_per_km2,basin_pct,cemetery_pct,commercial_pct,farmland_pct,forest_pct,industrial_pct,plantation_pct,recreation_ground_pct,residential_pct,retail_pct
28,KHADIA,3269364.246545433,3.269364246545433,9339.847727687373,9.339847727687372,0.470970365706825,72.59437086891404,23.02172310463309,22.698,6.943,0.0,0.0,11.35,0.0,0.0,1.0,0.0,0.0,76.85,0.0
29,JAMALPUR,2815042.4881640784,2.8150424881640785,10263.072204751714,10.263072204751714,0.3358458989737722,72.5806121238553,23.02148257050849,29.658,10.536,0.0,0.1,5.37,0.0,0.0,1.72,0.0,0.07,45.53,0.95
30,PALDI,5594141.959946184,5.594141959946184,9497.853821352925,9.497853821352924,0.7792779442947599,72.56261818876098,23.011372357742797,44.738,7.997,0.0,0.0,5.54,0.0,0.0,0.0,0.0,0.6,60.87,0.0
31,VASNA,5577888.5549056055,5.577888554905606,11078.352229380704,11.078352229380704,0.5711226165138804,72.5471927247516,22.99719556914607,22.955,4.115,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,40.65,0.0
32,VEJALPUR,2900773.7847158248,2.900773784715825,9722.114762264811,9.722114762264813,0.3856579064477917,72.52475788046021,23.005393104656743,21.166,7.297,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,66.19,0.0
33,SARKHEJ,23640081.99912347,23.64008199912347,24515.838762022508,24.515838762022508,0.4942712272985385,72.49200496403164,22.988790905438567,119.448,5.053,0.0,0.0,0.43,0.0,0.0,4.89,0.0,0.0,1.62,0.0
34,MAKTAMPURA,25554343.07090449,25.554343070904487,33400.422159134934,33.40042215913493,0.2878529422576347,72.51690003560101,22.954889327610488,37.646,1.473,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,2.57,0.0
35,BAHERAMPURA,10230145.837280044,10.230145837280045,15825.902800130689,15.825902800130688,0.5132804237898246,72.56962242552673,22.98774145324432,52.437,5.126,0.0,0.0,1.79,1.45,0.0,62.87,0.0,0.0,24.01,0.0
36,DANILIMDA,3547105.206938656,3.547105206938656,10089.793065915705,10.089793065915703,0.4378440126633792,72.58791783704135,22.997112253384607,24.07,6.786,0.0,0.0,0.28,0.0,0.0,7.02,0.0,0.0,26.04,0.0
37,MANINAGAR,4547598.344658079,4.547598344658079,9465.172024018337,9.465172024018337,0.6378740593534433,72.60207316795129,22.99966463331785,40.046,8.806,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.21,74.53,0.0
38,GOMTIPUR,3241193.8110200805,3.2411938110200804,12616.65125583949,12.61665125583949,0.2558743000813157,72.61737075092769,23.018967125474173,21.793,6.724,0.0,0.0,0.0,0.0,0.0,6.82,0.0,0.0,57.31,0.0
39,AMRAIWADI,3144139.82968306,3.144139829683059,12342.66921084761,12.34266921084761,0.2593543499818784,72.62410970330039,23.00991737239864,19.84,6.31,0.0,0.0,1.07,0.0,0.0,6.72,0.0,0.0,54.58,0.0
40,ODHAV,5468498.156788142,5.468498156788143,13236.86703000747,13.23686703000747,0.3921999389006969,72.66117967303133,23.02326547128276,42.046,7.689,0.0,0.0,0.0,0.0,0.0,53.74,0.0,0.0,19.96,0.0
