name,category,city,lat,lon,source
Satellite Road,Road,Ahmedabad,23.02441,72.530274,OSM
Satellite Road,Road,Ahmedabad,23.023055,72.536653,OSM
Chhanalal Joshi Marg,Road,Ahmedabad,23.004974,72.491606,OSM
Sardar Patel Ring Road,Road,Ahmedabad,23.017743,72.480614,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.925335,72.567139,OSM
Bhudarpura Road,Road,Ahmedabad,23.019362,72.55308,OSM
Sabarmati River front Road,Road,Ahmedabad,23.007224,72.574536,OSM
Shantipura Flyover,Road,Ahmedabad,22.989019,72.471687,OSM
Vakil Saheb Flyover,Road,Ahmedabad,23.027223,72.476688,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.991222,72.471761,OSM
VIP Road,Road,Ahmedabad,23.012887,72.457236,OSM
Sardar Patel Ring Road,Road,Ahmedabad,23.006819,72.476828,OSM
Sardar Patel Ring Road,Road,Ahmedabad,23.006508,72.476191,OSM
Sardar Patel Ring Road,Road,Ahmedabad,23.011295,72.47799,OSM
Sardar Patel Ring Road,Road,Ahmedabad,23.020449,72.479032,OSM
Sardar Patel Ring Road,Road,Ahmedabad,23.023134,72.477953,OSM
Corporate road,Road,Ahmedabad,23.013493,72.506569,OSM
Bileshwar Mahadev Road,Road,Ahmedabad,23.01627,72.52657,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.938285,72.494344,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.938903,72.493248,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.938301,72.494634,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.939228,72.492954,OSM
Sardar Patel Ring Road Flyover,Road,Ahmedabad,22.964679,72.474848,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.953954,72.480166,OSM
Sardar Patel Ring Road Flyover,Road,Ahmedabad,22.964683,72.475001,OSM
Sardar Patel Ring Road,Road,Ahmedabad,22.954016,72.480289,OSM
Chhanalal Joshi Marg,Road,Ahmedabad,23.020616,72.494048,OSM
Chhanalal Joshi Marg,Road,Ahmedabad,23.025215,72.49213,OSM
Flyover,Road,Ahmedabad,22.978393,72.491319,OSM
Sanand Chokdi Flyover,Road,Ahmedabad,22.986856,72.49467,OSM
