ward_id,name,basin,cemetery,commercial,farmland,forest,industrial,plantation,recreation_ground,residential,retail,total_landuse_km2,ward_area_km2,basin_pct,cemetery_pct,commercial_pct,farmland_pct,forest_pct,industrial_pct,plantation_pct,recreation_ground_pct,residential_pct,retail_pct
34,MAKTAMPURA,0.0,0.007740677815471137,0.0,0.0,0.0,0.0,0.0,0.0,0.6573862412813251,0.0,0.6651269190967962,25.554343070904487,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,2.57,0.0
35,BAHERAMPURA,0.0,0.0,0.1834290497856792,0.14861473726685628,0.0,6.431532212340457,0.0,0.0,2.456290977009549,0.0,9.219866976402542,10.230145837280045,0.0,0.0,1.79,1.45,0.0,62.87,0.0,0.0,24.01,0.0
36,DANILIMDA,0.0,0.0,0.009841723656435878,0.0,0.0,0.24888514216570956,0.0,0.0,0.923603618526436,0.0,1.1823304843485816,3.547105206938656,0.0,0.0,0.28,0.0,0.0,7.02,0.0,0.0,26.04,0.0
37,MANINAGAR,0.0,0.004568532321873521,0.0,0.0,0.0,0.0,0.0,0.00962441383050004,3.3891149209272413,0.0,3.403307867079615,4.547598344658079,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.21,74.53,0.0
38,GOMTIPUR,0.0,0.0,0.0,0.0,0.0,0.22092588821699088,0.0,0.0,1.8576656085327188,0.0,2.0785914967497097,3.2411938110200804,0.0,0.0,0.0,0.0,0.0,6.82,0.0,0.0,57.31,0.0
39,AMRAIWADI,0.0,0.0,0.033580065127047413,0.0,0.0,0.21139399330811673,0.0,0.0,1.7161579448149418,0.0,1.9611320032501058,3.144139829683059,0.0,0.0,1.07,0.0,0.0,6.72,0.0,0.0,54.58,0.0
40,ODHAV,0.0,0.0,0.0,0.0,0.0,2.9386566905921843,0.0,0.0,1.0917581777830552,0.0,4.03041486837524,5.468498156788143,0.0,0.0,0.0,0.0,0.0,53.74,0.0,0.0,19.96,0.0
41,VASTRAL,0.0,0.0,0.0,0.0,0.0,0.5102812698947905,0.0,0.0,3.9699626897233475,0.0,4.480243959618138,13.484631275510027,0.0,0.0,0.0,0.0,0.0,3.78,0.0,0.0,29.44,0.0
42,INDRAPURI,0.0,0.0,0.0,0.0,0.0,0.35988538043503493,0.0,0.0,0.5471535029975553,0.0,0.9070388834325902,3.3212139749391074,0.0,0.0,0.0,0.0,0.0,10.84,0.0,0.0,16.47,0.0
43,BHAIPURA HATKESHWAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9794164791402898,0.0,0.9794164791402898,1.9415008625677082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.45,0.0
44,KHOKHRA,0.0,0.0,0.0,0.0,0.0,0.26456604028135833,0.0,0.0,2.41519089360719,0.0,2.679756933888548,3.588188239388745,0.0,0.0,0.0,0.0,0.0,7.37,0.0,0.0,67.31,0.0
45,ISANPUR,0.0,0.0,0.0,0.0,0.0,4.218018164978332e-05,0.0,0.0,1.8029222871937023,0.0,1.802964467375352,4.092708236115647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.05,0.0
46,LAMBHA,0.0,0.0,0.0,0.0,0.0,10.401666426458773,0.0,0.0,1.0026942410991655,0.0,11.404360667557938,48.163155265872206,0.0,0.0,0.0,0.0,0.0,21.6,0.0,0.0,2.08,0.0
47,VATVA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.107369373954085,0.0,3.107369373954085,11.306182516086148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.48,0.0
48,RAMOL HATHIJAN,0.0,0.0,0.0025465970827843426,0.0,0.0,6.602041085093575,0.0,0.0,0.0,0.0,6.604587682176359,30.786045509127746,0.0,0.0,0.01,0.0,0.0,21.44,0.0,0.0,0.0,0.0
